eu_pas_register_number,risk_management_plan,grouped_risk_management_plan,count,due_result_count,due_protocol_count,has_abstract_only_manual_count,has_abstract_manual_count,has_final_study_report_manual_count,has_result_manual_count,has_result_automatic_count,has_additional_protocol_manual_count,has_protocol_manual_count,has_protocol_automatic_count
5289,All,All,1,1,1,1,1,0,1,0,0,0,0
5306,All,All,1,1,1,0,0,0,0,0,0,0,0
5309,All,All,1,1,1,0,0,0,0,0,0,0,0
5312,All,All,1,1,1,0,0,0,0,0,0,0,0
5333,All,All,1,1,1,0,0,0,0,0,0,0,0
5345,All,All,1,1,1,1,1,0,1,1,0,1,1
5350,All,All,1,1,1,0,0,0,0,0,0,0,0
5356,All,All,1,1,1,0,0,0,0,0,0,0,0
5359,All,All,1,1,1,0,0,0,0,0,0,0,0
5362,All,All,1,1,1,0,0,0,0,0,0,0,0
5365,All,All,1,1,1,0,1,1,1,1,0,1,1
5383,All,All,1,1,1,0,1,1,1,1,0,1,1
5395,All,All,1,1,1,0,1,1,1,1,0,1,1
5418,All,All,1,0,1,0,0,0,0,0,0,1,1
5440,All,All,1,1,1,1,1,0,1,1,0,1,1
5461,All,All,1,1,1,0,1,1,1,1,0,1,1
5501,All,All,1,1,1,0,0,1,1,1,0,1,1
5507,All,All,1,1,1,1,1,0,1,1,0,0,0
5529,All,All,1,1,1,0,1,1,1,1,0,1,1
5533,All,All,1,1,1,0,0,0,0,0,0,0,0
5552,All,All,1,1,1,1,1,0,1,1,0,0,0
5555,All,All,1,1,1,0,1,1,1,1,1,1,0
5565,All,All,1,1,1,0,1,1,1,1,0,1,1
5568,All,All,1,1,1,0,1,1,1,1,0,1,1
5584,All,All,1,1,1,1,1,0,1,1,0,1,1
5592,All,All,1,1,1,0,0,0,0,0,0,1,1
5599,All,All,1,1,1,0,1,1,1,1,0,1,1
5602,All,All,1,1,1,1,1,0,1,1,0,1,1
5605,All,All,1,1,1,1,1,0,1,1,0,1,1
10872,All,All,1,1,1,0,0,0,0,1,0,1,1
5644,All,All,1,1,1,0,1,1,1,1,0,1,1
5647,All,All,1,1,1,1,1,0,1,1,0,1,1
5668,All,All,1,0,1,0,0,0,0,0,0,0,0
5678,All,All,1,0,1,0,0,0,0,0,0,0,0
5687,All,All,1,1,1,1,1,0,1,1,0,1,1
5703,All,All,1,0,1,0,0,0,0,0,0,1,1
5708,All,All,1,1,1,0,0,1,1,1,0,1,1
5711,All,All,1,1,1,0,0,0,0,0,0,0,0
5766,All,All,1,1,1,0,0,0,0,1,0,1,1
5790,All,All,1,0,1,0,0,0,0,0,0,0,0
5798,All,All,1,1,1,1,1,0,1,1,0,1,1
5816,All,All,1,1,1,0,0,0,0,0,0,0,0
5855,All,All,1,1,1,1,1,0,1,1,0,0,0
5890,All,All,1,1,1,0,0,0,0,0,0,1,1
5896,All,All,1,1,1,0,0,1,1,1,0,0,0
5899,All,All,1,1,1,1,1,0,1,1,0,0,0
5911,All,All,1,1,1,0,1,1,1,1,0,0,0
5924,All,All,1,1,1,0,1,1,1,1,0,0,0
5934,All,All,1,1,1,0,1,1,1,1,0,0,0
5937,All,All,1,1,1,0,1,1,1,1,0,1,1
5944,All,All,1,1,1,0,1,1,1,1,0,1,1
5972,All,All,1,1,1,0,1,1,1,1,0,0,0
5975,All,All,1,1,1,0,1,1,1,1,0,1,1
5987,All,All,1,1,1,0,0,0,0,0,0,0,0
6012,All,All,1,1,1,0,0,0,0,0,0,1,1
6019,All,All,1,1,1,1,1,0,1,1,0,0,0
6023,All,All,1,0,1,0,0,0,0,0,0,0,0
6040,All,All,1,0,1,0,0,0,0,0,0,1,1
6073,All,All,1,1,1,0,1,1,1,1,0,1,1
6076,All,All,1,0,1,0,0,0,0,0,0,0,0
6083,All,All,1,1,1,1,1,0,1,1,0,1,1
6086,All,All,1,1,1,0,0,0,0,1,0,1,1
6103,All,All,1,1,1,0,0,0,0,0,0,0,0
6106,All,All,1,1,1,0,0,0,0,0,0,0,0
6110,All,All,1,1,1,0,0,1,1,1,0,1,1
6115,All,All,1,1,1,0,1,1,1,1,0,1,1
6118,All,All,1,1,1,1,1,0,1,1,0,1,1
6134,All,All,1,1,1,1,1,0,1,1,0,0,0
6140,All,All,1,1,1,1,1,0,1,1,0,0,0
6147,All,All,1,1,1,0,0,0,0,0,0,1,1
6186,All,All,1,1,1,0,1,1,1,1,0,1,1
6189,All,All,1,1,1,1,1,0,1,1,0,1,1
6210,All,All,1,1,1,0,1,1,1,1,0,1,1
6213,All,All,1,0,1,0,0,0,0,0,0,1,1
6229,All,All,1,1,1,1,1,0,1,1,0,1,1
6234,All,All,1,1,1,1,1,0,1,1,0,1,1
6239,All,All,1,1,1,0,1,1,1,1,0,1,1
6242,All,All,1,1,1,1,1,0,1,1,0,1,1
6305,All,All,1,1,1,0,1,1,1,1,0,1,1
6318,All,All,1,1,1,0,1,1,1,1,0,1,1
12912,All,All,1,1,1,0,0,0,0,0,0,0,0
6352,All,All,1,1,1,0,0,0,0,0,0,0,0
6355,All,All,1,1,1,0,0,0,0,0,0,1,1
6366,All,All,1,1,1,1,1,0,1,1,0,1,1
6410,All,All,1,0,1,0,0,0,0,0,0,0,0
6413,All,All,1,0,1,0,0,0,0,0,0,0,0
6420,All,All,1,1,1,1,1,0,1,1,0,0,0
6435,All,All,1,1,1,0,0,0,0,0,0,0,0
6441,All,All,1,1,1,0,0,0,0,0,0,0,0
6469,All,All,1,1,1,1,1,0,1,1,1,1,1
6486,All,All,1,1,1,0,1,1,1,1,0,1,1
6521,All,All,1,1,1,0,1,1,1,1,0,1,1
6524,All,All,1,1,1,1,1,0,1,1,0,1,1
6536,All,All,1,1,1,0,0,0,0,0,0,0,0
6539,All,All,1,1,1,0,0,1,1,1,0,0,0
6559,All,All,1,1,1,0,0,0,0,0,0,0,0
6568,All,All,1,0,0,0,0,0,0,0,0,0,0
6573,All,All,1,1,1,1,1,0,1,1,0,1,1
6577,All,All,1,1,1,1,1,0,1,1,0,1,1
6587,All,All,1,1,1,0,1,1,1,1,0,1,1
6655,All,All,1,1,1,0,0,0,0,0,0,1,1
6658,All,All,1,1,1,1,1,0,1,1,0,0,0
6691,All,All,1,1,1,1,1,0,1,1,0,1,1
6708,All,All,1,1,1,0,0,1,1,1,0,0,0
6736,All,All,1,1,1,0,1,1,1,1,0,1,1
6749,All,All,1,1,1,0,0,0,0,0,0,0,0
6769,All,All,1,1,1,0,0,0,0,0,0,0,0
6779,All,All,1,1,1,0,0,1,1,1,0,1,1
6785,All,All,1,1,1,1,1,0,1,1,0,0,0
6804,All,All,1,1,1,0,0,0,0,0,0,1,1
6817,All,All,1,1,1,0,1,1,1,1,0,1,1
6827,All,All,1,1,1,0,0,1,1,1,0,0,0
6934,All,All,1,0,1,0,0,0,0,0,0,1,1
6987,All,All,1,1,1,1,1,0,1,1,0,1,1
7008,All,All,1,1,1,0,0,0,0,0,0,0,0
7020,All,All,1,1,1,0,0,0,0,0,0,0,0
7023,All,All,1,1,1,0,0,0,0,0,0,0,0
7034,All,All,1,1,1,0,0,0,0,0,0,0,0
7037,All,All,1,1,1,0,0,0,0,0,0,0,0
7072,All,All,1,0,1,0,0,0,0,0,0,1,1
7082,All,All,1,1,1,0,1,1,1,1,0,1,1
7134,All,All,1,1,1,0,1,1,1,1,0,1,1
7187,All,All,1,0,1,0,0,0,0,0,0,1,1
7193,All,All,1,0,1,0,0,0,0,0,0,0,0
7196,All,All,1,0,1,0,0,0,0,0,0,0,0
7201,All,All,1,1,1,0,1,1,1,1,0,1,1
7211,All,All,1,0,1,0,0,0,0,0,0,1,1
7225,All,All,1,0,1,0,0,0,0,0,0,0,0
7290,All,All,1,1,1,0,0,0,0,0,0,0,0
7305,All,All,1,1,1,1,1,0,1,1,0,1,1
7309,All,All,1,1,1,0,1,1,1,1,0,1,1
7317,All,All,1,1,1,0,0,1,1,1,0,1,1
7325,All,All,1,1,1,0,1,1,1,1,0,1,1
7346,All,All,1,0,1,0,0,0,0,0,0,0,0
